Player,Season,Team,S/C,GP,GS,W,L,T,OT,SA,Svs,GA,Sv%,GAA,TOI,SO,G,A,P,PIM
Tuukka Rask,20192020,BOS,L,41,41,26,8,--,6,"1,189","1,104",85,0.929,2.12,"2,401:47",5,0,2,2,0
Jake Allen,20192020,STL,L,24,21,12,6,--,3,655,607,48,0.927,2.15,"1,339:04",2,0,0,0,0
Anton Khudobin,20192020,DAL,L,30,26,16,8,--,4,882,820,62,0.93,2.22,"1,677:29",0,0,3,3,4
Darcy Kuemper,20192020,ARI,L,29,29,16,11,--,2,903,838,65,0.928,2.22,"1,753:24",2,0,0,0,6
Elvis Merzlikins,20192020,CBJ,L,33,31,13,9,--,8,919,848,71,0.923,2.35,"1,815:08",5,0,0,0,0
Jaroslav Halak,20192020,BOS,L,31,29,18,6,--,6,905,832,73,0.919,2.39,"1,833:22",3,0,2,2,0
Pavel Francouz,20192020,COL,R,34,31,21,7,--,4,996,919,77,0.923,2.41,"1,914:26",1,0,0,0,2
Carter Hart,20192020,PHI,L,43,40,24,13,--,3,"1,100","1,005",95,0.914,2.42,"2,355:50",1,0,0,0,0
Tristan Jarry,20192020,PIT,L,33,31,20,12,--,1,985,907,78,0.921,2.43,"1,926:29",3,0,0,0,0
Ben Bishop,20192020,DAL,L,44,43,21,16,--,4,"1,286","1,183",103,0.92,2.5,"2,473:49",2,0,2,2,2
Ilya Samsonov,20192020,WSH,L,26,22,16,6,--,2,689,629,60,0.913,2.55,"1,411:02",1,0,0,0,2
Andrei Vasilevskiy,20192020,TBL,L,52,52,35,14,--,3,"1,605","1,472",133,0.917,2.56,"3,121:54",3,0,4,4,4
Jordan Binnington,20192020,STL,L,50,50,30,13,--,7,"1,430","1,304",126,0.912,2.56,"2,947:41",3,0,1,1,4
Connor Hellebuyck,20192020,WPG,L,58,56,31,21,--,5,"1,796","1,656",140,0.922,2.57,"3,268:33",6,0,2,2,0
Joonas Korpisalo,20192020,CBJ,L,37,35,19,12,--,5,"1,030",938,92,0.911,2.6,"2,125:54",2,0,1,1,0
Semyon Varlamov,20192020,NYI,L,45,39,19,14,--,6,"1,278","1,168",110,0.914,2.62,"2,517:19",2,0,0,0,0
Philipp Grubauer,20192020,COL,L,36,36,18,12,--,4,"1,067",977,90,0.916,2.63,"2,057:06",2,0,0,0,0
Antti Raanta,20192020,ARI,L,33,32,15,14,--,3,"1,014",934,80,0.921,2.63,"1,822:54",2,0,0,0,2
Cam Talbot,20192020,CGY,L,26,22,12,10,--,1,780,717,63,0.919,2.63,"1,434:39",2,0,0,0,21
James Reimer,20192020,CAR,L,25,24,14,6,--,2,712,651,61,0.914,2.66,"1,378:01",3,0,0,0,2
Alex Stalock,20192020,MIN,L,38,36,20,11,--,4,"1,082",985,97,0.91,2.67,"2,177:21",4,0,1,1,4
Petr Mrazek,20192020,CAR,L,40,38,21,16,--,2,"1,091",987,104,0.905,2.69,"2,320:59",3,0,0,0,4
Linus Ullmark,20192020,BUF,L,34,34,17,14,--,3,"1,066",975,91,0.915,2.69,"2,026:38",1,0,0,0,4
Juuse Saros,20192020,NSH,L,40,34,17,12,--,4,"1,142","1,044",98,0.914,2.7,"2,176:50",4,0,0,0,0
Thomas Greiss,20192020,NYI,L,31,29,16,9,--,4,838,765,73,0.913,2.74,"1,595:56",0,0,0,0,2
Mikko Koskinen,20192020,EDM,L,38,34,18,13,--,3,"1,175","1,078",97,0.917,2.75,"2,116:31",1,0,0,0,0
Jacob Markstrom,20192020,VAN,L,43,43,23,16,--,4,"1,420","1,303",117,0.918,2.75,"2,551:53",2,0,1,1,4
Corey Crawford,20192020,CHI,L,40,39,16,20,--,3,"1,294","1,186",108,0.917,2.77,"2,340:03",1,0,0,0,0
Marc-Andre Fleury,20192020,VGK,L,49,48,27,16,--,5,"1,399","1,266",133,0.905,2.77,"2,880:06",5,0,0,0,8
Mackenzie Blackwood,20192020,NJD,L,47,43,22,14,--,8,"1,452","1,328",124,0.915,2.77,"2,684:01",3,0,1,1,0
Jonathan Quick,20192020,LAK,L,42,42,16,22,--,4,"1,224","1,107",117,0.904,2.79,"2,516:14",1,0,1,1,0
Carey Price,20192020,MTL,L,58,58,27,25,--,6,"1,755","1,595",160,0.909,2.79,"3,439:49",4,0,0,0,6
Jack Campbell,20192020,"LAK,TOR",L,26,26,11,12,--,3,761,688,73,0.904,2.8,"1,566:59",0,0,0,0,0
Frederik Andersen,20192020,TOR,L,52,52,29,13,--,7,"1,577","1,434",143,0.909,2.85,"3,006:40",3,0,0,0,0
Brian Elliott,20192020,PHI,L,31,27,16,7,--,4,796,716,80,0.899,2.87,"1,673:54",2,0,1,1,2
Matt Murray,20192020,PIT,L,38,38,20,11,--,5,"1,055",948,107,0.899,2.87,"2,237:30",1,0,1,1,2
Robin Lehner,20192020,"CHI,VGK",L,36,34,19,10,--,5,"1,235","1,136",99,0.92,2.89,"2,055:28",1,0,0,0,4
Jonathan Bernier,20192020,DET,L,46,41,15,22,--,3,"1,353","1,227",126,0.907,2.95,"2,565:56",1,0,3,3,4
Mike Smith,20192020,EDM,L,39,37,19,12,--,6,"1,087",981,106,0.902,2.95,"2,156:51",1,0,2,2,21
David Rittich,20192020,CGY,L,48,48,24,17,--,6,"1,478","1,340",138,0.907,2.97,"2,791:58",2,0,1,1,6
John Gibson,20192020,ANA,L,51,51,20,26,--,5,"1,552","1,403",149,0.904,3,"2,981:17",1,0,0,0,6
Martin Jones,20192020,SJS,L,41,40,17,21,--,2,"1,139","1,021",118,0.896,3,"2,359:50",2,0,1,1,0
Aaron Dell,20192020,SJS,L,33,30,12,15,--,3,986,894,92,0.907,3.01,"1,834:14",0,0,0,0,0
Alexandar Georgiev,20192020,NYR,L,34,32,17,14,--,2,"1,063",967,96,0.91,3.04,"1,891:44",2,0,1,1,0
Thatcher Demko,20192020,VAN,L,27,25,13,10,--,2,822,744,78,0.905,3.06,"1,529:03",0,0,0,0,0
Ryan Miller,20192020,ANA,L,23,19,9,6,--,4,685,621,64,0.907,3.1,"1,238:14",0,0,1,1,0
Braden Holtby,20192020,WSH,L,48,47,25,14,--,6,"1,385","1,243",142,0.897,3.11,"2,743:10",0,0,1,1,4
Marcus Hogberg,20192020,OTT,L,24,21,5,8,--,8,728,658,70,0.904,3.12,"1,344:33",0,0,0,0,0
Henrik Lundqvist,20192020,NYR,L,30,26,10,12,--,3,883,799,84,0.905,3.16,"1,596:44",1,0,1,1,2
Pekka Rinne,20192020,NSH,L,36,35,18,14,--,4,"1,004",899,105,0.895,3.17,"1,987:46",3,1,2,3,0
